ITEM
304	C	1,3,100230
305	C	1,3,100231
306	C	1,3,100232
307	C	1,3,100233
308	C	1,3,100234
309	C	1,3,100235
310	C	1,3,100236
311	C	1,3,100237
312	C	1,3,100238
313	C	1,3,100239
314	C	1,3,10023A
315	C	1,3,10023B
316	C	1,3,10023C
317	C	1,3,10023D
318	C	1,3,10023E
319	C	1,3,10023F
320	C	1,3,100240
321	C	1,3,100241
322	C	1,3,100242
323	C	1,3,100243
324	C	1,3,100244
325	C	1,3,100245
326	C	1,3,100246
327	C	1,3,100247
328	C	1,3,100248
329	C	1,3,100249
330	C	1,3,10024A
331	C	1,3,10024B
332	C	1,3,10024C
333	C	1,3,10024D
334	C	1,3,10024E
335	C	1,3,10024F
336	C	1,3,100250
337	C	1,3,100251
338	C	1,3,100252
339	C	1,3,100253
340	C	1,3,100254
341	C	1,3,100255
342	C	1,3,100256
343	C	1,3,100257
344	C	1,3,100258
345	C	1,3,100259
346	C	1,3,10025A
347	C	1,3,10025B
348	C	1,3,10025C
349	C	1,3,10025D
350	C	1,3,10025E
351	C	2,2,100101
352	C	2,2,100102
353	C	2,2,100103
354	C	2,2,100104
355	C	2,2,100105
356	C	2,2,100106
357	C	2,2,100107
358	C	2,2,100108
359	C	2,2,100109
360	C	2,2,10010A
361	C	2,2,10010B
362	C	2,2,10010C
363	C	2,2,10010D
364	C	2,2,10010E
365	C	2,2,10010F
366	C	2,2,100110
367	C	2,2,100111
368	C	2,2,100112
369	C	2,2,100113
370	C	2,2,100114
371	C	2,2,100115
372	C	2,2,100116
373	C	2,2,100117
374	C	2,2,100118
375	C	2,2,100119
376	C	2,2,10011A
377	C	2,2,10011B
378	C	2,2,10011C
379	C	2,2,10011D
380	C	2,2,10011E
381	C	2,2,10011F
382	C	2,2,100120
383	C	2,2,100121
384	C	2,2,100122
385	C	2,2,100123
386	C	2,2,100124
387	C	2,2,100125
388	C	2,2,100126
389	C	2,2,100127
390	C	2,2,100128
391	C	2,2,100129
392	C	2,2,10012A
393	C	2,2,10012B
394	C	2,2,10012C
395	C	2,2,10012D
396	C	2,2,10012E
397	C	2,2,10012F
398	C	2,2,100130
399	C	2,2,100131
400	C	2,2,100132
401	C	2,2,100133
402	C	2,2,100134
403	C	2,2,100135
404	C	2,2,100136
405	C	2,2,100137
406	C	2,2,100138
407	C	2,2,100139
408	C	2,2,10013A
409	C	2,2,10013B
410	C	2,2,10013C
411	C	2,2,10013D
412	C	2,2,10013E
413	C	2,2,10013F
414	C	2,2,100140
415	C	2,2,100141
416	C	2,2,100142
417	C	2,2,100143
418	C	2,2,100144
419	C	2,2,100145
420	C	2,2,100146
421	C	2,2,100147
422	C	2,2,100148
423	C	2,2,100149
424	C	2,2,10014A
425	C	2,2,10014B
426	C	2,2,10014C
427	C	2,2,10014D
428	C	2,2,10014E
429	C	2,2,10014F
430	C	2,2,100150
431	C	2,2,100151
432	C	2,2,100152
433	C	2,2,100153
434	C	2,2,100154
435	C	2,2,100155
436	C	2,2,100156
437	C	2,2,100157
438	C	2,2,100158
439	C	2,2,100159
440	C	2,2,10015A
441	C	2,2,10015B
442	C	2,2,10015C
443	C	2,2,10015D
444	C	2,2,10015E
445	C	2,2,10015F
446	C	2,2,100160
447	C	2,2,100161
448	C	2,2,100162
449	C	2,2,100163
450	C	2,2,100164
451	C	2,2,100165
452	C	2,2,100166
453	C	2,2,100167
454	C	2,2,100168
455	C	2,2,100169
456	C	2,2,10016A
457	C	2,2,10016B
458	C	2,2,10016C
459	C	2,2,10016D
460	C	2,2,10016E
461	C	2,2,10016F
462	C	2,2,100170
463	C	2,2,100171
464	C	2,2,100172
465	C	2,2,100173
466	C	2,2,100174
467	C	2,2,100175
468	C	2,2,100176
469	C	2,2,100177
470	C	2,2,100178
471	C	2,2,100179
472	C	2,2,10017A
473	C	2,2,10017B
474	C	2,2,10017C
475	C	2,2,10017D
476	C	2,2,10017E
477	C	2,2,10017F
478	C	2,2,100180
479	C	2,2,100181
480	C	2,2,100182
481	C	2,2,100183
